"","Neighborhood","Age 10 or less (%)","Age 11 to 18 (%)","Age 19 to 34 (%)","Age 35 to 49 (%)","Age 50 to 64 (%)","Age 65 and up (%)","Median Age","Square Miles","Diversity Index","Bachelor's Degree (%)","Four-year Degrees (%)","High School Diploma (%)","Less Than High School (%)","Masters Degree or Higher (%)","Some College (%)","Asian Population (%)","Black Population (%)","Latino Population (%)","Non-White Population (%)","White Population (%)","Foreign Born Population (%)","Median income 125k and up (%)","Median income 20k income or less (%)","Median income 20k to 40k income (%)","Median income 40k to 60k income (%)","Median income 60k to 125k income (%)","Percent of Households (%)","Median Income ($)","Divorced Females (%)","Divorced Males (%)","Married Females (%)","Married Males (%)","Never Married Females (%)","Never Married Males (%)","Widowed Females (%)","Widowed Males (%)","1975-1990 (%)","1990-1999 (%)","Vietnam (%)","World War II or Korea (%)","Homeowners (%)","Population per Sqmi","Population Total"
"183","Rancho Park",0.123,0.069,0.277,0.243,0.161,0.126,36,0.6,0.598,0.307,0.493,0.128,0.072,0.186,0.307,0.182,0.036,0.162,0.417,0.583,0.285,2.2,0.15,0.187,0.193,0.165,0.274,69724,0.122,0.08,0.444,0.547,0.334,0.36,0.099,0.012,0.086,0.056,0.284,0.573,0.544,"7,169","4,295"
"184","Redondo Beach",0.121,0.073,0.263,0.31,0.15,0.082,36,6.2,0.474,0.306,0.48,0.139,0.075,0.174,0.307,0.096,0.022,0.134,0.296,0.704,0.17,2.2,0.177,0.102,0.146,0.163,0.38,92263,0.154,0.116,0.478,0.489,0.299,0.384,0.069,0.011,0.129,0.106,0.347,0.408,0.495,"10,129","63,261"
"185","Reseda",0.178,0.11,0.247,0.243,0.124,0.099,32,5.9,0.656,0.139,0.19,0.225,0.313,0.05,0.273,0.112,0.042,0.435,0.628,0.372,0.431,3,0.043,0.206,0.269,0.19,0.252,54771,0.102,0.075,0.528,0.535,0.275,0.37,0.096,0.02,0.13,0.105,0.259,0.492,0.523,"10,600","62,174"
"186","Ridge Route",0.189,0.12,0.197,0.32,0.124,0.05,34,292.7,0.462,0.153,0.2,0.222,0.163,0.047,0.414,0.052,0.014,0.2,0.297,0.703,0.132,2.9,0.166,0.113,0.116,0.178,0.402,92822,0.114,0.079,0.673,0.633,0.175,0.271,0.039,0.017,0.147,0.087,0.426,0.329,0.791,"7","1,951"
"187","Rolling Hills",0.128,0.127,0.074,0.232,0.236,0.204,46,3.6,0.396,0.313,0.607,0.102,0.036,0.294,0.255,0.144,0.018,0.049,0.239,0.761,0.176,2.7,0.502,0.027,0.069,0.083,0.272,184777,0.052,0.034,0.73,0.743,0.158,0.196,0.06,0.027,0.019,0.025,0.25,0.682,0.905,"893","3,218"
"188","Rolling Hills Estates",0.14,0.122,0.085,0.258,0.223,0.173,43,3.8,0.469,0.32,0.602,0.114,0.032,0.283,0.252,0.197,0.013,0.056,0.302,0.698,0.189,2.7,0.415,0.052,0.085,0.102,0.31,145628,0.068,0.03,0.68,0.766,0.183,0.181,0.069,0.023,0.066,0.024,0.178,0.707,0.91,"2,185","8,334"
"189","Rosemead",0.167,0.124,0.248,0.226,0.129,0.105,32,5.2,0.589,0.1,0.129,0.189,0.468,0.029,0.214,0.486,0.006,0.41,0.92,0.08,0.564,3.7,0.035,0.243,0.286,0.193,0.216,49387,0.063,0.04,0.515,0.558,0.318,0.382,0.104,0.02,0.081,0.056,0.316,0.536,0.488,"10,332","53,280"
"190","Rowland Heights",0.155,0.124,0.221,0.247,0.167,0.086,35,13.2,0.632,0.233,0.342,0.214,0.175,0.109,0.268,0.517,0.023,0.274,0.844,0.156,0.531,3.4,0.118,0.167,0.202,0.166,0.321,72638,0.082,0.05,0.595,0.627,0.252,0.31,0.071,0.013,0.133,0.118,0.335,0.407,0.668,"3,604","47,524"
"191","San Dimas",0.147,0.124,0.184,0.25,0.174,0.12,37,15.6,0.565,0.192,0.284,0.179,0.127,0.092,0.41,0.09,0.027,0.235,0.392,0.608,0.154,2.8,0.133,0.108,0.164,0.186,0.378,84953,0.12,0.09,0.551,0.608,0.225,0.278,0.104,0.023,0.12,0.057,0.32,0.498,0.736,"2,244","35,064"
"192","San Fernando",0.215,0.142,0.271,0.205,0.099,0.068,26,2.4,0.192,0.036,0.054,0.198,0.581,0.019,0.167,0.005,0.007,0.895,0.92,0.08,0.434,3.8,0.02,0.217,0.272,0.219,0.248,54068,0.067,0.055,0.562,0.561,0.29,0.365,0.081,0.019,0.168,0.087,0.211,0.527,0.539,"9,856","23,534"
"193","San Gabriel",0.152,0.092,0.243,0.24,0.14,0.134,36,4.2,0.637,0.171,0.246,0.183,0.308,0.075,0.263,0.489,0.01,0.304,0.826,0.174,0.526,3,0.055,0.203,0.261,0.185,0.273,56687,0.083,0.053,0.534,0.589,0.278,0.337,0.105,0.021,0.059,0.138,0.209,0.59,0.477,"9,433","39,306"
"194","San Marino",0.135,0.144,0.118,0.253,0.181,0.169,42,3.8,0.584,0.367,0.697,0.063,0.046,0.33,0.195,0.468,0.005,0.048,0.56,0.44,0.372,3,0.451,0.063,0.072,0.082,0.291,158855,0.062,0.025,0.665,0.734,0.191,0.228,0.082,0.013,0,0.018,0.153,0.794,0.916,"3,428","12,973"
"195","San Pasqual",0.099,0.077,0.214,0.301,0.189,0.12,41,0.3,0.601,0.302,0.572,0.081,0.101,0.27,0.246,0.179,0.031,0.179,0.423,0.577,0.326,2.3,0.3,0.135,0.198,0.129,0.198,92917,0.153,0.088,0.569,0.537,0.192,0.35,0.086,0.025,0.115,0,0.328,0.557,0.621,"8,036","2,082"
"196","San Pedro",0.171,0.101,0.23,0.237,0.148,0.114,34,12.1,0.63,0.149,0.228,0.219,0.244,0.078,0.309,0.048,0.061,0.408,0.558,0.442,0.245,2.5,0.072,0.228,0.219,0.161,0.264,57508,0.139,0.102,0.493,0.537,0.268,0.336,0.101,0.025,0.143,0.126,0.298,0.42,0.439,"6,640","80,065"
"197","Santa Clarita",0.194,0.12,0.215,0.276,0.127,0.068,32,57.4,0.479,0.203,0.29,0.201,0.124,0.087,0.385,0.052,0.021,0.207,0.312,0.688,0.164,2.9,0.134,0.101,0.148,0.175,0.404,88987,0.112,0.08,0.594,0.619,0.225,0.286,0.069,0.014,0.152,0.093,0.376,0.372,0.731,"2,745","157,447"
"198","Santa Fe Springs",0.186,0.125,0.226,0.219,0.122,0.122,32,8.9,0.448,0.069,0.092,0.282,0.371,0.023,0.255,0.036,0.033,0.716,0.808,0.192,0.26,3.3,0.045,0.189,0.229,0.258,0.266,60445,0.115,0.082,0.532,0.545,0.254,0.355,0.099,0.018,0.134,0.086,0.228,0.552,0.627,"2,014","17,834"
"199","Santa Monica",0.092,0.057,0.265,0.28,0.163,0.143,38,8.6,0.465,0.316,0.548,0.12,0.09,0.232,0.242,0.071,0.035,0.135,0.287,0.713,0.248,1.8,0.154,0.193,0.179,0.155,0.249,69013,0.155,0.113,0.384,0.418,0.374,0.446,0.087,0.023,0.103,0.065,0.243,0.571,0.298,"9,817","84,084"
"200","Sawtelle",0.075,0.049,0.426,0.229,0.115,0.106,32,2.7,0.659,0.314,0.498,0.129,0.146,0.184,0.227,0.199,0.026,0.228,0.504,0.496,0.39,1.9,0.07,0.219,0.233,0.191,0.254,57710,0.112,0.08,0.367,0.376,0.446,0.528,0.075,0.016,0.146,0.09,0.199,0.557,0.202,"13,319","35,844"
"202","Shadow Hills",0.136,0.103,0.181,0.259,0.192,0.13,39,12.8,0.562,0.149,0.251,0.224,0.171,0.102,0.354,0.069,0.013,0.287,0.409,0.591,0.265,2.8,0.116,0.147,0.153,0.174,0.383,82796,0.13,0.095,0.547,0.573,0.23,0.308,0.093,0.024,0.039,0.061,0.32,0.578,0.777,"1,023","13,098"
"203","Sherman Oaks",0.104,0.06,0.283,0.267,0.15,0.135,37,9.1,0.434,0.283,0.457,0.15,0.08,0.174,0.313,0.057,0.044,0.118,0.262,0.738,0.262,2,0.136,0.158,0.208,0.182,0.273,69651,0.155,0.11,0.439,0.469,0.31,0.399,0.096,0.022,0.119,0.072,0.233,0.566,0.411,"6,687","61,166"
"204","Sierra Madre",0.117,0.08,0.161,0.281,0.201,0.16,42,3,0.353,0.281,0.497,0.128,0.055,0.216,0.319,0.052,0.012,0.099,0.205,0.795,0.105,2.2,0.201,0.083,0.181,0.166,0.335,88008,0.151,0.114,0.513,0.587,0.225,0.28,0.111,0.018,0.083,0.034,0.273,0.584,0.625,"3,563","10,578"
"205","Signal Hill",0.164,0.109,0.26,0.258,0.122,0.087,33,2.2,0.737,0.161,0.246,0.151,0.21,0.085,0.393,0.189,0.106,0.29,0.641,0.359,0.29,2.5,0.063,0.151,0.214,0.225,0.298,66283,0.149,0.115,0.441,0.468,0.331,0.403,0.08,0.014,0.133,0.276,0.228,0.363,0.464,"4,171","9,273"
"206","Silver Lake",0.122,0.077,0.289,0.27,0.136,0.107,35,2.7,0.676,0.239,0.362,0.143,0.248,0.123,0.247,0.18,0.032,0.418,0.66,0.34,0.411,2.3,0.094,0.239,0.235,0.162,0.22,54339,0.1,0.068,0.432,0.386,0.386,0.526,0.082,0.02,0.115,0.126,0.209,0.527,0.357,"11,266","30,972"
"208","Southeast Antelope Valley",0.134,0.127,0.121,0.282,0.194,0.141,41,193,0.393,0.126,0.217,0.232,0.172,0.091,0.38,0.019,0.015,0.164,0.24,0.76,0.103,2.6,0.076,0.198,0.148,0.139,0.294,70134,0.085,0.088,0.627,0.64,0.201,0.244,0.087,0.028,0.1,0.082,0.399,0.419,0.823,"27","5,271"
"209","South El Monte",0.218,0.133,0.288,0.191,0.1,0.071,25,2.9,0.248,0.021,0.031,0.173,0.644,0.01,0.152,0.078,0.001,0.862,0.949,0.051,0.519,4.3,0.027,0.218,0.333,0.183,0.199,46912,0.069,0.054,0.538,0.523,0.316,0.4,0.077,0.023,0.162,0.079,0.306,0.437,0.497,"7,150","20,935"
"210","South Gate",0.233,0.141,0.281,0.2,0.091,0.054,24,7.4,0.147,0.032,0.049,0.205,0.601,0.017,0.145,0.009,0.006,0.921,0.941,0.059,0.493,4,0.023,0.226,0.307,0.203,0.195,48312,0.064,0.031,0.547,0.555,0.323,0.397,0.066,0.018,0.16,0.172,0.206,0.453,0.469,"12,945","96,418"
"211","South Park",0.262,0.139,0.302,0.179,0.069,0.05,23,1.4,0.345,0.024,0.034,0.151,0.694,0.01,0.121,0.001,0.192,0.786,0.99,0.01,0.494,3.9,0.016,0.419,0.281,0.12,0.075,29518,0.055,0.046,0.484,0.479,0.391,0.455,0.07,0.02,0.168,0.149,0.237,0.432,0.277,"21,638","30,496"
"212","South Pasadena",0.127,0.11,0.219,0.274,0.153,0.117,37,3.4,0.651,0.311,0.561,0.104,0.064,0.25,0.271,0.256,0.027,0.161,0.496,0.504,0.244,2.3,0.156,0.134,0.195,0.182,0.299,76229,0.137,0.071,0.481,0.54,0.296,0.367,0.086,0.021,0.12,0.063,0.303,0.511,0.441,"7,114","24,303"
"213","South San Gabriel",0.165,0.106,0.228,0.222,0.149,0.13,35,1.4,0.59,0.133,0.183,0.221,0.371,0.05,0.226,0.41,0.006,0.484,0.918,0.082,0.449,3.4,0.059,0.185,0.204,0.211,0.302,64827,0.1,0.072,0.535,0.56,0.273,0.348,0.092,0.021,0.101,0.084,0.302,0.5,0.672,"5,708","8,100"
"214","South San Jose Hills",0.215,0.148,0.264,0.199,0.113,0.061,26,1.5,0.304,0.051,0.079,0.192,0.55,0.028,0.18,0.059,0.021,0.828,0.926,0.074,0.458,4.4,0.051,0.121,0.251,0.266,0.294,65527,0.058,0.064,0.533,0.544,0.34,0.379,0.069,0.013,0.126,0.145,0.341,0.352,0.787,"13,646","20,257"
"215","South Whittier",0.211,0.135,0.247,0.218,0.11,0.079,28,5.4,0.457,0.07,0.096,0.273,0.348,0.026,0.283,0.03,0.01,0.695,0.757,0.243,0.286,3.6,0.041,0.144,0.248,0.236,0.311,64670,0.084,0.057,0.568,0.577,0.277,0.346,0.071,0.019,0.115,0.088,0.298,0.495,0.647,"10,291","55,285"
"216","Stevenson Ranch",0.231,0.092,0.23,0.309,0.102,0.035,32,3.1,0.534,0.309,0.463,0.156,0.042,0.154,0.339,0.137,0.021,0.129,0.347,0.653,0.202,2.9,0.28,0.047,0.085,0.129,0.414,122833,0.083,0.052,0.727,0.728,0.164,0.204,0.025,0.016,0.133,0.212,0.357,0.298,0.839,"2,765","8,609"
"217","Studio City",0.097,0.045,0.274,0.287,0.164,0.132,38,6.3,0.378,0.32,0.494,0.127,0.048,0.174,0.332,0.054,0.037,0.087,0.22,0.78,0.211,1.9,0.164,0.13,0.199,0.189,0.287,75657,0.138,0.117,0.44,0.437,0.327,0.421,0.095,0.025,0.117,0.082,0.235,0.54,0.441,"5,395","34,034"
"218","Sunland",0.153,0.105,0.186,0.276,0.153,0.128,37,4,0.526,0.161,0.22,0.249,0.155,0.059,0.375,0.071,0.023,0.215,0.351,0.649,0.205,2.6,0.083,0.161,0.193,0.219,0.311,68720,0.139,0.105,0.527,0.551,0.234,0.307,0.1,0.037,0.109,0.055,0.334,0.481,0.685,"3,825","15,316"
"219","Sun Valley",0.204,0.134,0.259,0.223,0.107,0.072,28,9.4,0.479,0.08,0.107,0.192,0.502,0.027,0.198,0.081,0.019,0.694,0.821,0.179,0.519,3.7,0.044,0.235,0.269,0.196,0.224,51290,0.066,0.05,0.546,0.544,0.308,0.386,0.079,0.02,0.107,0.096,0.287,0.492,0.539,"8,048","75,848"
"220","Sun Village",0.206,0.15,0.17,0.26,0.139,0.075,32,10.2,0.619,0.039,0.052,0.259,0.339,0.013,0.349,0.008,0.114,0.388,0.534,0.466,0.187,3.4,0.033,0.214,0.217,0.158,0.268,56175,0.073,0.119,0.635,0.583,0.224,0.286,0.068,0.012,0.176,0.101,0.368,0.33,0.777,"917","9,375"
"221","Sylmar",0.203,0.141,0.249,0.218,0.113,0.076,28,12.5,0.466,0.078,0.116,0.223,0.406,0.038,0.255,0.034,0.041,0.698,0.793,0.207,0.367,3.6,0.058,0.154,0.228,0.222,0.309,65783,0.091,0.065,0.555,0.544,0.271,0.378,0.083,0.013,0.121,0.124,0.286,0.462,0.708,"5,579","69,499"
"222","Tarzana",0.135,0.092,0.199,0.25,0.172,0.152,38,8.8,0.471,0.243,0.403,0.173,0.136,0.16,0.287,0.05,0.036,0.151,0.293,0.707,0.351,2.5,0.193,0.172,0.212,0.14,0.252,73195,0.128,0.085,0.528,0.57,0.241,0.319,0.103,0.026,0.055,0.066,0.225,0.638,0.587,"4,038","35,502"
"223","Temple City",0.145,0.108,0.192,0.251,0.166,0.138,38,4,0.665,0.196,0.285,0.206,0.165,0.089,0.344,0.385,0.009,0.203,0.619,0.381,0.386,2.9,0.065,0.167,0.225,0.2,0.316,65965,0.103,0.066,0.537,0.604,0.247,0.302,0.113,0.028,0.12,0.066,0.253,0.553,0.63,"8,366","33,296"
"224","Toluca Lake",0.099,0.057,0.276,0.315,0.153,0.101,37,1.2,0.457,0.337,0.484,0.12,0.067,0.148,0.329,0.05,0.053,0.14,0.281,0.719,0.177,1.9,0.138,0.137,0.187,0.182,0.281,73111,0.143,0.108,0.458,0.44,0.329,0.44,0.07,0.012,0.198,0.055,0.259,0.473,0.378,"6,393","7,782"
"225","Topanga",0.132,0.085,0.131,0.325,0.231,0.097,42,19.2,0.227,0.316,0.59,0.124,0.042,0.274,0.243,0.037,0.006,0.046,0.124,0.876,0.158,2.4,0.33,0.092,0.119,0.122,0.274,120319,0.126,0.121,0.585,0.613,0.235,0.263,0.054,0.004,0.124,0.012,0.232,0.632,0.764,"386","7,425"
"226","Torrance",0.135,0.104,0.189,0.275,0.156,0.141,38,20.6,0.628,0.248,0.364,0.202,0.094,0.117,0.339,0.286,0.019,0.129,0.479,0.521,0.276,2.5,0.116,0.137,0.193,0.182,0.345,76866,0.117,0.081,0.555,0.588,0.221,0.305,0.106,0.026,0.124,0.056,0.265,0.545,0.56,"6,701","137,933"
"227","Tujunga",0.166,0.103,0.217,0.269,0.146,0.099,36,10,0.557,0.151,0.224,0.224,0.227,0.073,0.326,0.066,0.018,0.261,0.393,0.607,0.299,2.7,0.062,0.199,0.261,0.193,0.254,58001,0.121,0.111,0.564,0.555,0.222,0.316,0.092,0.017,0.152,0.066,0.323,0.448,0.55,"2,649","26,527"
"228","Tujunga Canyons",0.156,0.139,0.155,0.276,0.16,0.114,37,229.9,0.384,0.142,0.252,0.232,0.132,0.11,0.384,0.024,0.034,0.15,0.231,0.769,0.094,2.7,0.186,0.121,0.166,0.131,0.286,85625,0.164,0.134,0.586,0.567,0.171,0.267,0.078,0.032,0.071,0.117,0.357,0.445,0.869,"11","2,474"
"229","Unincorporated Catalina Island",0.162,0.136,0.194,0.292,0.189,0.027,35,72.5,0.495,0.156,0.205,0.203,0.296,0.049,0.296,0.008,0,0.357,0.386,0.614,0.312,2.9,0.013,0.188,0.231,0.294,0.206,56295,0.157,0.154,0.581,0.469,0.194,0.315,0.068,0.063,0.273,0.227,0.045,0.455,0,"2","139"
"230","Unincorporated Santa Monica Mountains",0.123,0.116,0.251,0.256,0.17,0.084,35,89.3,0.309,0.307,0.564,0.107,0.045,0.257,0.284,0.058,0.016,0.059,0.174,0.826,0.147,2.5,0.355,0.073,0.103,0.107,0.278,132997,0.088,0.094,0.466,0.538,0.4,0.355,0.047,0.012,0.052,0.033,0.343,0.56,0.752,"100","8,929"
"231","Unincorporated Santa Susana Mountains",0.172,0.1,0.232,0.298,0.138,0.06,34,78.1,0.602,0.287,0.439,0.158,0.094,0.152,0.309,0.188,0.027,0.169,0.424,0.576,0.277,2.7,0.211,0.086,0.128,0.169,0.366,93825,0.097,0.1,0.614,0.624,0.253,0.257,0.036,0.019,0.126,0.211,0.376,0.288,0.619,"58","4,525"
"233","University Park",0.109,0.11,0.558,0.117,0.059,0.046,23,1.2,0.676,0.107,0.237,0.105,0.525,0.129,0.134,0.161,0.07,0.477,0.745,0.255,0.424,2.7,0.009,0.566,0.215,0.084,0.07,18533,0.028,0.025,0.307,0.294,0.615,0.672,0.049,0.009,0.318,0.238,0.187,0.258,0.078,"20,217","23,596"
"234","Valinda",0.207,0.14,0.238,0.22,0.124,0.071,28,2,0.482,0.097,0.121,0.25,0.368,0.025,0.261,0.127,0.038,0.697,0.879,0.121,0.376,4.1,0.046,0.101,0.229,0.262,0.346,70037,0.087,0.053,0.544,0.575,0.302,0.358,0.068,0.014,0.141,0.163,0.298,0.398,0.775,"10,748","21,568"
"235","Valley Glen",0.182,0.111,0.255,0.239,0.118,0.095,32,4.8,0.632,0.137,0.213,0.191,0.333,0.077,0.262,0.054,0.039,0.452,0.605,0.395,0.49,2.9,0.057,0.271,0.288,0.148,0.205,46175,0.092,0.065,0.545,0.559,0.285,0.36,0.077,0.016,0.146,0.043,0.293,0.511,0.371,"12,325","59,230"
"236","Valley Village",0.115,0.068,0.282,0.265,0.142,0.127,36,2.1,0.512,0.258,0.365,0.159,0.131,0.107,0.345,0.044,0.055,0.189,0.333,0.667,0.289,2,0.087,0.2,0.273,0.185,0.226,55470,0.159,0.121,0.419,0.443,0.326,0.414,0.096,0.021,0.145,0.105,0.234,0.505,0.313,"11,600","24,190"
"237","Val Verde",0.21,0.149,0.218,0.269,0.098,0.055,30,0.7,0.602,0.069,0.099,0.272,0.334,0.03,0.295,0.014,0.07,0.495,0.618,0.382,0.278,3.4,0.043,0.102,0.248,0.2,0.299,68073,0.123,0.16,0.598,0.528,0.233,0.297,0.045,0.015,0.088,0.115,0.418,0.379,0.73,"2,588","1,888"
"238","Van Nuys",0.211,0.105,0.298,0.228,0.091,0.067,28,9,0.571,0.106,0.153,0.191,0.431,0.047,0.225,0.064,0.06,0.605,0.769,0.231,0.498,3,0.029,0.298,0.315,0.165,0.163,41134,0.096,0.073,0.53,0.512,0.304,0.397,0.07,0.018,0.183,0.114,0.24,0.456,0.261,"11,542","103,770"
"239","Venice",0.087,0.055,0.347,0.277,0.149,0.086,35,3.2,0.534,0.313,0.493,0.112,0.131,0.179,0.264,0.041,0.054,0.217,0.358,0.642,0.223,1.9,0.155,0.166,0.211,0.161,0.244,67647,0.159,0.113,0.378,0.359,0.406,0.513,0.056,0.015,0.063,0.096,0.334,0.502,0.312,"11,891","37,705"
"240","Vermont Knolls",0.245,0.143,0.253,0.198,0.096,0.065,24,1.1,0.521,0.04,0.054,0.195,0.554,0.014,0.197,0.012,0.426,0.545,0.99,0.01,0.332,3.3,0.012,0.453,0.241,0.128,0.088,27730,0.099,0.075,0.415,0.478,0.397,0.422,0.089,0.025,0.193,0.062,0.24,0.49,0.279,"18,057","20,616"
"241","Vermont-Slauson",0.235,0.149,0.247,0.198,0.098,0.073,25,1.4,0.498,0.023,0.037,0.2,0.596,0.014,0.167,0.003,0.368,0.605,0.987,0.013,0.392,3.5,0.018,0.405,0.252,0.135,0.097,31236,0.085,0.055,0.454,0.499,0.362,0.414,0.098,0.032,0.115,0.055,0.331,0.475,0.385,"18,577","26,797"
"242","Vermont Square",0.217,0.142,0.251,0.209,0.096,0.084,26,2.5,0.527,0.038,0.053,0.203,0.537,0.015,0.208,0.011,0.392,0.565,0.986,0.014,0.385,3.4,0.02,0.421,0.24,0.124,0.1,29904,0.08,0.066,0.437,0.463,0.369,0.441,0.114,0.031,0.143,0.097,0.283,0.457,0.368,"17,798","45,284"
"243","Vermont Vista",0.256,0.143,0.244,0.187,0.101,0.067,24,1.6,0.526,0.043,0.06,0.216,0.529,0.017,0.195,0.008,0.45,0.521,0.989,0.011,0.313,3.5,0.017,0.394,0.293,0.121,0.091,31272,0.09,0.059,0.444,0.502,0.379,0.417,0.088,0.022,0.194,0.154,0.25,0.391,0.404,"14,154","23,291"
