"","Neighborhood","Age 10 or less (%)","Age 11 to 18 (%)","Age 19 to 34 (%)","Age 35 to 49 (%)","Age 50 to 64 (%)","Age 65 and up (%)","Median Age","Square Miles","Diversity Index","Bachelor's Degree (%)","Four-year Degrees (%)","High School Diploma (%)","Less Than High School (%)","Masters Degree or Higher (%)","Some College (%)","Asian Population (%)","Black Population (%)","Latino Population (%)","Non-White Population (%)","White Population (%)","Foreign Born Population (%)","Median income 125k and up (%)","Median income 20k income or less (%)","Median income 20k to 40k income (%)","Median income 40k to 60k income (%)","Median income 60k to 125k income (%)","Percent of Households (%)","Median Income ($)","Divorced Females (%)","Divorced Males (%)","Married Females (%)","Married Males (%)","Never Married Females (%)","Never Married Males (%)","Widowed Females (%)","Widowed Males (%)","1975-1990 (%)","1990-1999 (%)","Vietnam (%)","World War II or Korea (%)","Homeowners (%)","Population per Sqmi","Population Total"
"20","Bel-Air",0.122,0.074,0.124,0.243,0.228,0.209,46,6.4,0.301,0.297,0.661,0.092,0.042,0.364,0.206,0.082,0.009,0.046,0.17,0.83,0.241,2.4,0.551,0.063,0.085,0.06,0.192,207938,0.07,0.082,0.657,0.66,0.154,0.236,0.119,0.022,0.07,0.008,0.163,0.743,0.855,"1,207","7,691"
"21","Bell",0.233,0.135,0.3,0.192,0.089,0.051,24,2.6,0.173,0.027,0.04,0.179,0.649,0.013,0.133,0.012,0.008,0.907,0.941,0.059,0.533,3.9,0.017,0.281,0.352,0.178,0.141,40556,0.06,0.039,0.554,0.531,0.316,0.416,0.07,0.014,0.151,0.233,0.163,0.412,0.309,"14,357","36,667"
"22","Bellflower",0.21,0.123,0.246,0.223,0.116,0.082,30,6.2,0.694,0.098,0.129,0.266,0.292,0.031,0.313,0.101,0.123,0.428,0.692,0.308,0.284,3,0.038,0.217,0.274,0.192,0.246,53325,0.124,0.092,0.499,0.546,0.289,0.344,0.089,0.019,0.148,0.11,0.339,0.392,0.403,"11,756","72,829"
"23","Bell Gardens",0.261,0.152,0.287,0.185,0.075,0.04,22,2.5,0.119,0.022,0.04,0.155,0.687,0.018,0.119,0.005,0.006,0.937,0.953,0.047,0.504,4.4,0.02,0.286,0.343,0.189,0.13,41532,0.062,0.038,0.531,0.529,0.35,0.419,0.057,0.014,0.229,0.174,0.136,0.412,0.238,"17,762","44,054"
"24","Beverly Crest",0.121,0.072,0.133,0.261,0.242,0.17,45,8.2,0.23,0.347,0.676,0.095,0.045,0.329,0.185,0.04,0.017,0.034,0.125,0.875,0.25,2.4,0.474,0.064,0.066,0.07,0.275,169282,0.115,0.101,0.595,0.634,0.204,0.249,0.086,0.016,0.028,0.016,0.237,0.707,0.9,"1,318","10,852"
"25","Beverly Grove",0.05,0.034,0.338,0.245,0.129,0.204,38,1.6,0.319,0.346,0.5,0.147,0.11,0.154,0.244,0.051,0.02,0.06,0.18,0.82,0.363,1.7,0.106,0.21,0.195,0.194,0.249,63039,0.132,0.079,0.327,0.352,0.405,0.532,0.136,0.037,0.08,0.07,0.157,0.671,0.252,"12,990","21,417"
"26","Beverly Hills",0.101,0.107,0.193,0.234,0.187,0.177,41,5.7,0.32,0.297,0.545,0.13,0.092,0.248,0.233,0.076,0.014,0.048,0.182,0.818,0.382,2.2,0.281,0.142,0.139,0.132,0.255,96312,0.107,0.063,0.482,0.58,0.296,0.33,0.115,0.027,0.049,0.039,0.174,0.728,0.435,"5,933","33,829"
"27","Beverlywood",0.173,0.092,0.162,0.257,0.151,0.165,39,0.8,0.348,0.265,0.553,0.141,0.074,0.288,0.232,0.073,0.042,0.061,0.2,0.8,0.245,2.5,0.309,0.114,0.144,0.121,0.285,105253,0.087,0.055,0.58,0.646,0.211,0.265,0.122,0.035,0.032,0.012,0.187,0.766,0.703,"7,654","6,080"
"28","Boyle Heights",0.228,0.138,0.282,0.181,0.095,0.077,25,6.5,0.115,0.035,0.05,0.154,0.688,0.014,0.109,0.024,0.009,0.94,0.98,0.02,0.524,3.8,0.019,0.386,0.297,0.136,0.104,33235,0.057,0.049,0.515,0.5,0.35,0.431,0.077,0.021,0.126,0.17,0.224,0.472,0.241,"14,229","92,756"
"29","Bradbury",0.126,0.105,0.091,0.24,0.191,0.248,46,1.9,0.513,0.25,0.472,0.154,0.076,0.222,0.298,0.187,0.01,0.119,0.339,0.661,0.229,2.8,0.311,0.033,0.127,0.135,0.342,123773,0.114,0.069,0.574,0.679,0.194,0.213,0.117,0.039,0.125,0,0.142,0.734,0.843,"658","1,268"
